question,answer
"Can I travel if my Myki has a negative or debit balance?","You can travel with a $0.00 balance for one or two-zone trips, but not for most V/Line journeys (more than two zones). A negative Myki Money balance invalidates a Myki Pass for travel."
"How do I touch on and touch off?","Touch your Myki flat on the reader when entering a station, tram, or bus, and when exiting (optional for trams). Don’t swipe or move it. It works within half a centimetre, possibly through a wallet unless other RFID cards interfere."
"Do I really need to touch on every time?","Yes, to validate your ticket, even if already valid for the journey. Exceptions are trams in the Free Tram Zone (CBD/Docklands). Touch on when boarding buses or at gated stations."
"Do I really need to touch off every time?","Yes, except on trams in Zone 1, to avoid default fares (e.g., two-zone fare). Myki Pass users in their nominated zones don’t need to touch off."
"Why don’t I have to touch off on trams?","Touching off is optional in Zone 1 to avoid congestion. For trams in the Zone 1/2 overlap (routes 75, 86, 109 ends), touch off to get the cheaper Zone 2 fare."
"Do I get charged for another 2-hours if I touch off after the expiry time?","No, your ticket is valid if you touch on before the expiry time."
"I heard weekly/monthly/yearly Passes aren’t valid on weekends.","Not true. Passes are valid on weekends in the zones paid for, but Zone 1-only Passes don’t cover Zone 2 travel, unlike the old Metcard system."
"Why does the information displayed on the reader vanish too quickly for me to read it?","Hold your card to the reader longer to view balance and deductions. Some new barrier readers don’t display information. Check balances at Myki Card Vending Machines or Myki Check machines."
"I’ve heard that a Myki card has an expiry date.","Myki cards expire four years after purchase. Check expiry at vending machines, Myki Check machines, by calling 1800 800 007, or via your online account. Replace free at staffed stations or PTV Hubs, with balance transferred."
"Does Myki Money always give me the best fare?","Myki Money gives the best daily fare, upgrading automatically (e.g., from 2-hour to Daily). It doesn’t upgrade to cheaper weekly/monthly Passes, which must be pre-loaded."
"I heard you have to pay extra if the train is late.","Not on trains, as you can touch on before expiry. On trams/buses, late arrivals after the 2-hour period may result in a daily fare for short trips."
"What’s the use of compensation being paid as Myki Money, when I have a Myki Pass?","Compensation for poor service (for 28+ day Pass users with 10+ travel days) is paid as Myki Money. Use it after your Pass expires, for other zones, on another card, or to buy your next Pass."
"Is Myki switching us to distance-based fares?","No, Myki uses zone-based fares, not distance-based like some cities."
"How do ticket inspectors and V/Line conductors check tickets?","They use handheld devices to read Myki cards, as little information is printed on the card."
"Has Myki slowed things down?","Yes, in some cases, like evening peak station exits. New Vix readers have improved bus response times. No single-use tickets increase delays for occasional users."
"Does Myki work properly?","Myki has issues, including no single-use tickets, limited top-up options, and slow readers. PTUA has suggested improvements like distinct touch-on/off sounds."
"Was Myki worth the money?","Probably not. The high cost could have been better spent on updating Metcard or a cheaper Smartcard system, with savings for more staff and services."
"What is the daily full fare cap for metropolitan travel in Victoria starting January 2025?","From 1 January 2025, the daily full fare cap is $11.00 for travel across the metropolitan network."
"What is the daily concession fare cap in Victoria from January 2025?","The daily concession fare cap is $5.50 for eligible concession card holders."
"What are the weekend and public holiday daily fare caps in Victoria for 2025?","On weekends and public holidays, the daily full fare cap is $7.60, and the concession cap is $3.80."
"Can I use a Myki for regional V/Line travel?","Yes. Myki can be used on V/Line commuter train services in zones 1–13, covering regional cities such as Geelong, Ballarat, Bendigo, and Traralgon."
"How does Myki Pass differ from Myki Money?","Myki Pass is best for frequent travelers who make regular trips, while Myki Money is ideal for occasional or pay-as-you-go travel."
"Can international students at RMIT get a public transport concession?","No. RMIT's International Student Travel Pass is no longer available. International students must pay full fares."
"Who can apply for a PTV concession card at RMIT?","To qualify, students must be Australian citizens or permanent residents and enrolled in a full-time course with at least 75% study load."
"Is the RMIT student ID enough to get concession travel?","No. You must carry an official PTV Student Concession Card along with your RMIT student ID when travelling."
"Does Uber operate in Melbourne and other Victorian cities?","Yes. Uber operates throughout Melbourne and major regional cities in Victoria, including Geelong and Ballarat."
"How does Uber's upfront pricing work in Australia?","Uber provides an estimated upfront fare before you book, calculated based on distance, time, traffic, and local demand."
"What payment options does Uber accept in Australia?","You can pay with debit/credit cards, PayPal, Google Pay, Apple Pay, or Uber Cash; cash payments are not common in most cities."
"Can people with disabilities use Uber with government transport subsidies?","Yes. Victoria's MPTP (Multi-Purpose Taxi Program) members can link their card in the Uber app and receive up to 50% off eligible trips."
"What is UberX compared to other ride types?","UberX is the standard, most affordable ride option for up to four passengers, while other types like Uber Comfort or Uber Black offer premium experiences."
"Can I use Uber for late-night travel when public transport is closed?","Yes. Uber operates 24/7, making it a convenient option during late nights when train or tram services are unavailable."
"Do I need to touch on and off for every Myki trip?","Yes. You must touch on at the start and touch off at the end of every journey on trains and buses. For trams, you only need to touch off if you travel beyond the Free Tram Zone."
"Where is the Free Tram Zone in Melbourne?","The Free Tram Zone covers Melbourne's CBD, Docklands, and Spring Street areas. You do not need to touch on or off while travelling entirely within this zone."
"What happens if I forget to touch off with Myki?","If you don't touch off, the system charges the maximum possible fare for the zones you travelled through."
"Can I use Myki on SkyBus to the airport?","No. SkyBus operates independently of the Myki system. You need to buy a separate SkyBus ticket online or at the terminal."
"Can tourists buy a Myki card?","Yes. Visitors can buy a standard Myki card from PTV Hubs, train stations, 7-Eleven stores, or the Melbourne Visitor Hub at Federation Square."
"How long is a Myki Pass valid?","A Myki Pass can be loaded for 7 days or between 28 days and 365 days, depending on how frequently you travel."
"Can I get a refund on Myki Money or Pass?","Yes. You can request a refund for unused credit or the remaining value of a Myki Pass through PTV's online form or at a staffed station."
"Are there discounts for seniors or pensioners on Myki?","Yes. Seniors and pensioners are eligible for concession fares and free travel on weekends within Victoria."
"What happens during fare inspections?","Authorised officers may ask to see your Myki card. You must present it when requested. Failure to do so can result in a fine."
"Are night trams and trains available in Melbourne?","Yes. The Night Network operates all-night services on weekends across key train, tram, and bus routes."
"Can I use my Myki card to travel from Melbourne to Geelong?","Yes. Myki is valid on V/Line services between Melbourne and Geelong, including stops in Werribee and Lara."
"Can I top up Myki using my phone?","Yes. You can top up instantly through the PTV app, Google Wallet, or Apple Pay if your phone supports digital Myki."
"What should I do if the Myki reader doesn't work?","If a reader is faulty, report it to PTV staff or online. You will not be fined if the reader is out of service and you report the issue."
"Can Uber replace late-night public transport?","Uber operates 24/7 and is often used when public transport services have ended, particularly after midnight."
"Is surge pricing always applied on Uber?","No. Surge pricing only applies during periods of high demand, such as peak hours or special events, and prices return to normal once demand drops."
"Can I schedule an Uber in advance?","Yes. Uber allows users to schedule rides up to 30 days in advance via the Reserve feature in the app."
"How can I share my Uber trip status for safety?","You can use the Share My Trip feature to send your live location and driver details to trusted contacts."
"Are Uber drivers required to have commercial licenses in Australia?","Yes. All Uber drivers must hold a valid Driver Accreditation and commercial insurance, as per state transport authority requirements."
"Does Uber offer accessible rides for passengers with disabilities?","Yes. Uber Assist and Uber Access provide trained drivers and vehicles with wheelchair-friendly access in supported areas."
"Can I request an Uber at Melbourne Airport?","Yes. Uber pickups are available at both Melbourne Airport terminals. Follow the in-app directions to the designated rideshare pickup zone."
"Does Uber provide price estimates before booking?","Yes. The app displays an upfront price estimate before you confirm your trip. The final fare may vary based on time, distance, and traffic."
"Are Uber rides available in regional Victoria?","Yes. Uber operates in many regional Victorian cities, including Geelong, Ballarat, and Bendigo."
"What is Uber in Melbourne and when is it useful?","Uber is a ridesharing service where you request a driver via a mobile app. It’s useful for trips when public transport is inconvenient, at late times, or when you have luggage."
"Do I need a driver’s license or special permissions to ride in Uber?","No special license is needed to *ride* Uber — you just need the app and a payment method. If you were thinking of *driving* for Uber, that has separate requirements."
"Are Uber rides more expensive than public transport?","Usually yes — Uber is more expensive per trip compared to using Myki/public transport, especially for short journeys or during peak or high-demand periods. But Uber offers flexibility and convenience."
"Can I request an Uber ride to or from the airport?","Yes — you can request Uber rides to and from airports, but there may be special pickup or drop-off zones, fees, or surcharges depending on the airport."
"What safety tips should I follow when using Uber?","Check the driver’s name and license plate before entering, share your trip status with someone, ensure the car matches the app details, and avoid getting in unlicensed vehicles. Always use the rating and feedback options."
"Is Uber available 24/7 in Melbourne?","Yes — in many areas Uber is available at all hours, but waiting times and cost can vary depending on time, location, traffic, and demand."
"How do I minimize costs when using Uber?","Choose a cheaper Uber option (like shared rides if available), travel off-peak, check for surge pricing, combine multiple errands into one ride, or use public transport if possible."
"Can I use public transport and Uber together?","Yes — you can use public transport (Myki) for most daily commuting and Uber for special cases like late nights, poor public transport coverage, or direct routes."
"If I only travel inside the CBD, do I need Myki or Uber?","In many cases you can walk, use free tram services (Free Tram Zone) for short distances, or take Uber for convenience. Myki may be cheaper or unnecessary in the Free Tram Zone."
"What apps are useful for travel in Melbourne?","Useful apps include the Public Transport Victoria (PTV) app, Myki app, Google Maps, and the Uber app. They help you plan routes, check schedules, and estimate fares."
"What happens if I use Uber and want to split fare or pay later?","Uber offers options such as splitting fares and different payment methods, depending on availability and location. Check the Uber app for the latest features."
"Are ride-share drivers allowed to pick up anywhere?","No — Uber pickups often have designated zones, especially at airports or busy locations. The app will guide you to the correct pickup point."
"Can international students drive for Uber?","Yes, international students can drive for Uber if their visa conditions allow work, they have a valid driver’s license, their vehicle meets Uber’s requirements, and they pass background checks. Always check visa rules before applying."
"How can I save money using both Uber and public transport?","Plan ahead: use Myki for regular routes and Uber only when public transport isn’t available. Look for Uber promotions, share rides, and use off-peak times to save money."
